30,30,3,1
16,3,5,1,0.0,0,-8355712
2,1,22,1,3.1415927,0,-13455658
1,1,23,4,0.0,0,-13455658
2,1,27,1,1.5707964,0,-13455658
2,2,3,1,3.1415927,0,-16744448
1,2,4,6,0.0,0,-16744448
4,2,10,1,0.0,0,-16744448
21,2,11,8,0.0,0,-8355840
12,2,23,1,3.1415927,0,-8355712
11,2,24,1,0.0,0,-8355712
16,2,25,1,0.0,0,-8355712
12,2,26,1,1.5707964,0,-8355712
1,3,3,1,1.5707964,0,-16744448
11,3,4,1,0.0,0,-8355712
16,3,5,1,0.0,0,-8355712
11,3,6,5,0.0,0,-8355712
12,3,11,5,1.5707964,0,-8355712
11,3,23,1,1.5707964,0,-8355712
4,3,24,1,3.1415927,0,-11823423
2,3,25,1,1.5707964,0,-11823423
11,3,26,3,4.712389,0,-8355712
2,4,3,1,4.712389,0,-16744448
1,4,4,6,0.0,0,-16744448
4,4,10,1,0.0,0,-16744448
1,4,22,3,1.5707964,0,-13455658
12,4,23,1,4.712389,0,-8355712
12,4,24,1,1.5707964,0,-8355712
1,4,27,3,1.5707964,0,-13455658
2,5,22,1,4.712389,0,-13455658
4,5,23,1,0.0,0,-13455658
11,5,24,1,1.5707964,0,-8355712
2,5,27,1,4.712389,0,-13455658
2,5,28,1,1.5707964,0,-13455658
12,6,23,2,3.1415927,0,-8355712
12,6,24,1,0.0,0,-8355712
12,6,26,1,4.712389,0,-8355712
12,6,27,1,1.5707964,0,-8355712
1,6,28,6,4.712389,0,-13455658
21,7,19,4,1.5707964,0,-8355840
4,7,24,1,1.5707964,0,-11823423
4,7,26,1,1.5707964,0,-11823423
11,7,27,3,4.712389,0,-8355712
2,8,2,1,3.1415927,0,-16744448
2,8,3,1,1.5707964,0,-16744448
2,8,23,1,3.1415927,0,-11823423
2,8,24,1,0.0,0,-11823423
1,8,26,1,1.5707964,0,-11823423
2,9,2,1,4.712389,0,-16744448
2,9,3,1,0.0,0,-16744448
11,9,22,2,1.5707964,0,-8355712
1,9,25,6,1.5707964,0,-11823423
4,9,26,1,4.712389,0,-11823423
2,10,10,1,3.1415927,0,-3097045
4,10,11,1,0.0,0,-3097045
21,10,24,2,1.5707964,0,-9934744
4,10,25,1,4.712389,0,-11823423
4,11,6,1,3.1415927,0,-16744448
2,11,7,1,1.5707964,0,-16744448
21,11,14,5,1.5707964,0,-8355840
12,11,18,4,4.712389,0,-8355712
11,11,19,2,0.0,0,-8355712
12,11,21,2,0.0,0,-8355712
12,11,25,2,3.1415927,0,-8355712
12,11,26,2,0.0,0,-8355712
12,12,5,4,3.1415927,0,-8355712
16,12,6,1,0.0,0,-8355712
1,12,7,1,1.5707964,0,-16744448
21,12,11,8,0.0,0,-8355840
21,12,25,7,4.712389,0,-9934744
4,12,26,1,3.1415927,0,-13455658
1,12,27,1,0.0,0,-13455658
2,12,28,1,0.0,0,-13455658
4,13,6,1,3.1415927,0,-16744448
2,13,7,1,0.0,0,-16744448
1,13,10,3,1.5707964,0,-3097045
11,13,24,6,4.712389,0,-8355712
11,13,26,6,4.712389,0,-9537915
4,13,27,1,1.5707964,0,-13205609
4,14,10,1,4.712389,0,-3097045
1,14,27,10,4.712389,0,-13205609
11,16,2,1,1.5707964,0,-8355712
12,17,15,4,3.1415927,0,-8029864
12,17,16,3,1.5707964,0,-8029864
1,18,23,10,1.5707964,0,-11823423
4,19,0,1,1.5707964,0,-2573770
21,19,9,4,3.1415927,0,-3227113
21,19,14,1,0.0,0,-2977
21,19,22,6,1.5707964,0,-9934744
2,19,23,1,4.712389,0,-11823423
1,19,24,1,0.0,0,-11823423
2,19,25,1,1.5707964,0,-11823423
4,20,0,1,4.712389,0,-2573770
12,20,5,4,4.712389,0,-8029864
11,20,8,3,3.1415927,0,-8029864
12,20,9,1,1.5707964,0,-8029864
21,21,6,3,0.0,0,-3227113
21,21,10,6,1.5707964,0,-3227113
11,21,18,2,1.5707964,0,-8355712
21,22,11,7,1.5707964,0,-3227113
12,22,13,2,4.712389,0,-8029864
12,22,14,2,1.5707964,0,-8029864
4,22,21,1,3.1415927,0,-6431250
4,22,22,1,0.0,0,-6431250
21,23,4,4,0.0,0,-3227113
21,23,11,4,0.0,0,-3227113
21,24,13,2,0.0,0,-3227113
1,24,25,5,1.5707964,0,-11823423
11,24,26,6,1.5707964,0,-9537915
2,24,27,1,4.712389,0,-13205609
1,24,28,1,0.0,0,-13205609
2,24,29,1,1.5707964,0,-13205609
4,25,0,1,3.1415927,0,-5335509
1,25,1,3,0.0,0,-5335509
2,25,4,1,1.5707964,0,-5335509
12,25,13,5,4.712389,0,-8029864
12,25,14,2,0.0,0,-8029864
21,25,16,5,1.5707964,0,-2977
21,25,17,7,1.5707964,0,-2977
4,25,25,1,4.712389,0,-11823423
12,25,26,1,4.712389,0,-9537915
16,25,27,1,0.0,0,-9537915
12,25,28,1,1.5707964,0,-9537915
1,26,4,2,4.712389,0,-5335509
12,26,22,5,4.712389,0,-8355712
11,26,27,5,3.1415927,0,-9537915
12,26,28,1,0.0,0,-9537915
1,26,29,2,1.5707964,0,-13205609
4,27,25,1,3.1415927,0,-13205609
1,27,26,3,0.0,0,-13205609
2,27,29,1,0.0,0,-13205609
4,28,4,1,4.712389,0,-5335509
21,28,12,1,0.0,0,-3227113
21,28,18,2,0.0,0,-2977
4,29,7,1,3.1415927,0,-6187729
1,29,8,2,0.0,0,-6187729
4,29,10,1,0.0,0,-6187729
